set_name,card_name,release_date,cards_count,bloc_name
151,bulbizarre 1 165,22/09/2023,207,Écarlate et Violet
151,herbizarre 2 165,22/09/2023,207,Écarlate et Violet
151,florizarre ex 3 165,22/09/2023,207,Écarlate et Violet
151,salameche 4 165,22/09/2023,207,Écarlate et Violet
151,reptincel 5 165,22/09/2023,207,Écarlate et Violet
151,dracaufeu ex 6 165,22/09/2023,207,Écarlate et Violet
151,carapuce 7 165,22/09/2023,207,Écarlate et Violet
151,carabaffe 8 165,22/09/2023,207,Écarlate et Violet
151,tortank ex 9 165,22/09/2023,207,Écarlate et Violet
151,chenipan 10 165,22/09/2023,207,Écarlate et Violet
151,chrysacier 11 165,22/09/2023,207,Écarlate et Violet
151,papilusion 12 165,22/09/2023,207,Écarlate et Violet
151,aspicot 13 165,22/09/2023,207,Écarlate et Violet
151,coconfort 14 165,22/09/2023,207,Écarlate et Violet
151,dardargnan 15 165,22/09/2023,207,Écarlate et Violet
151,roucool 16 165,22/09/2023,207,Écarlate et Violet
151,roucoups 17 165,22/09/2023,207,Écarlate et Violet
151,roucarnage 18 165,22/09/2023,207,Écarlate et Violet
151,rattata 19 165,22/09/2023,207,Écarlate et Violet
151,rattatac 20 165,22/09/2023,207,Écarlate et Violet
151,piafabec 21 165,22/09/2023,207,Écarlate et Violet
151,rapasdepic 22 165,22/09/2023,207,Écarlate et Violet
151,abo 23 165,22/09/2023,207,Écarlate et Violet
151,arbok ex 24 165,22/09/2023,207,Écarlate et Violet
151,pikachu 25 165,22/09/2023,207,Écarlate et Violet
151,raichu 26 165,22/09/2023,207,Écarlate et Violet
151,sabelette 27 165,22/09/2023,207,Écarlate et Violet
151,sablaireau 28 165,22/09/2023,207,Écarlate et Violet
151,nidoran 29 165,22/09/2023,207,Écarlate et Violet
151,nidorina 30 165,22/09/2023,207,Écarlate et Violet
151,nidoqueen 31 165,22/09/2023,207,Écarlate et Violet
151,nidoran 32 165,22/09/2023,207,Écarlate et Violet
151,nidorino 33 165,22/09/2023,207,Écarlate et Violet
151,nidoking 34 165,22/09/2023,207,Écarlate et Violet
151,melofee 35 165,22/09/2023,207,Écarlate et Violet
151,melodelfe 36 165,22/09/2023,207,Écarlate et Violet
151,goupix 37 165,22/09/2023,207,Écarlate et Violet
151,feunard ex 38 165,22/09/2023,207,Écarlate et Violet
151,rondoudou 39 165,22/09/2023,207,Écarlate et Violet
151,grodoudou ex 40 165,22/09/2023,207,Écarlate et Violet
151,nosferapti 41 165,22/09/2023,207,Écarlate et Violet
151,nosferalto 42 165,22/09/2023,207,Écarlate et Violet
151,mystherbe 43 165,22/09/2023,207,Écarlate et Violet
151,ortide 44 165,22/09/2023,207,Écarlate et Violet
151,rafflesia 45 165,22/09/2023,207,Écarlate et Violet
151,paras 46 165,22/09/2023,207,Écarlate et Violet
151,parasect 47 165,22/09/2023,207,Écarlate et Violet
151,mimitoss 48 165,22/09/2023,207,Écarlate et Violet
151,aeromite 49 165,22/09/2023,207,Écarlate et Violet
151,taupiqueur 50 165,22/09/2023,207,Écarlate et Violet
151,triopikeur 51 165,22/09/2023,207,Écarlate et Violet
151,miaouss 52 165,22/09/2023,207,Écarlate et Violet
151,persian 53 165,22/09/2023,207,Écarlate et Violet
151,psykokwak 54 165,22/09/2023,207,Écarlate et Violet
151,akwakwak 55 165,22/09/2023,207,Écarlate et Violet
151,ferosinge 56 165,22/09/2023,207,Écarlate et Violet
151,colossinge 57 165,22/09/2023,207,Écarlate et Violet
151,caninos 58 165,22/09/2023,207,Écarlate et Violet
151,arcanin 59 165,22/09/2023,207,Écarlate et Violet
151,ptitard 60 165,22/09/2023,207,Écarlate et Violet
151,tetarte 61 165,22/09/2023,207,Écarlate et Violet
151,tartard 62 165,22/09/2023,207,Écarlate et Violet
151,abra 63 165,22/09/2023,207,Écarlate et Violet
151,kadabra 64 165,22/09/2023,207,Écarlate et Violet
151,alakazam ex 65 165,22/09/2023,207,Écarlate et Violet
151,machoc 66 165,22/09/2023,207,Écarlate et Violet
151,machopeur 67 165,22/09/2023,207,Écarlate et Violet
151,mackogneur 68 165,22/09/2023,207,Écarlate et Violet
151,chetiflor 69 165,22/09/2023,207,Écarlate et Violet
151,boustiflor 70 165,22/09/2023,207,Écarlate et Violet
151,empiflor 71 165,22/09/2023,207,Écarlate et Violet
151,tentacool 72 165,22/09/2023,207,Écarlate et Violet
151,tentacruel 73 165,22/09/2023,207,Écarlate et Violet
151,racaillou 74 165,22/09/2023,207,Écarlate et Violet
151,gravalanch 75 165,22/09/2023,207,Écarlate et Violet
151,grolem ex 76 165,22/09/2023,207,Écarlate et Violet
151,ponyta 77 165,22/09/2023,207,Écarlate et Violet
151,galopa 78 165,22/09/2023,207,Écarlate et Violet
151,ramoloss 79 165,22/09/2023,207,Écarlate et Violet
151,flagadoss 80 165,22/09/2023,207,Écarlate et Violet
151,magneti 81 165,22/09/2023,207,Écarlate et Violet
151,magneton 82 165,22/09/2023,207,Écarlate et Violet
151,canarticho 83 165,22/09/2023,207,Écarlate et Violet
151,doduo 84 165,22/09/2023,207,Écarlate et Violet
151,dodrio 85 165,22/09/2023,207,Écarlate et Violet
151,otaria 86 165,22/09/2023,207,Écarlate et Violet
151,lamantine 87 165,22/09/2023,207,Écarlate et Violet
151,tadmorv 88 165,22/09/2023,207,Écarlate et Violet
151,grotadmorv 89 165,22/09/2023,207,Écarlate et Violet
151,kokiyas 90 165,22/09/2023,207,Écarlate et Violet
151,crustabri 91 165,22/09/2023,207,Écarlate et Violet
151,fantominus 92 165,22/09/2023,207,Écarlate et Violet
151,spectrum 93 165,22/09/2023,207,Écarlate et Violet
151,ectoplasma 94 165,22/09/2023,207,Écarlate et Violet
151,onix 95 165,22/09/2023,207,Écarlate et Violet
151,soporifik 96 165,22/09/2023,207,Écarlate et Violet
151,hypnomade 97 165,22/09/2023,207,Écarlate et Violet
151,krabby 98 165,22/09/2023,207,Écarlate et Violet
151,krabboss 99 165,22/09/2023,207,Écarlate et Violet
151,voltorbe 100 165,22/09/2023,207,Écarlate et Violet
151,electrode 101 165,22/09/2023,207,Écarlate et Violet
151,noeunoeuf 102 165,22/09/2023,207,Écarlate et Violet
151,noadkoko 103 165,22/09/2023,207,Écarlate et Violet
151,osselait 104 165,22/09/2023,207,Écarlate et Violet
151,ossatueur 105 165,22/09/2023,207,Écarlate et Violet
151,kicklee 106 165,22/09/2023,207,Écarlate et Violet
151,tygnon 107 165,22/09/2023,207,Écarlate et Violet
151,excelangue 108 165,22/09/2023,207,Écarlate et Violet
151,smogo 109 165,22/09/2023,207,Écarlate et Violet
151,smogogo 110 165,22/09/2023,207,Écarlate et Violet
151,rhinocorne 111 165,22/09/2023,207,Écarlate et Violet
151,rhinoferos 112 165,22/09/2023,207,Écarlate et Violet
151,leveinard 113 165,22/09/2023,207,Écarlate et Violet
151,saquedeneu 114 165,22/09/2023,207,Écarlate et Violet
151,kangourex ex 115 165,22/09/2023,207,Écarlate et Violet
151,hypotrempe 116 165,22/09/2023,207,Écarlate et Violet
151,hypocean 117 165,22/09/2023,207,Écarlate et Violet
151,poissirene 118 165,22/09/2023,207,Écarlate et Violet
151,poissoroy 119 165,22/09/2023,207,Écarlate et Violet
151,stari 120 165,22/09/2023,207,Écarlate et Violet
151,staross 121 165,22/09/2023,207,Écarlate et Violet
151,m. mime 122 165,22/09/2023,207,Écarlate et Violet
151,insecateur 123 165,22/09/2023,207,Écarlate et Violet
151,lippoutou ex 124 165,22/09/2023,207,Écarlate et Violet
151,elektek 125 165,22/09/2023,207,Écarlate et Violet
151,magmar 126 165,22/09/2023,207,Écarlate et Violet
151,scarabrute 127 165,22/09/2023,207,Écarlate et Violet
151,tauros 128 165,22/09/2023,207,Écarlate et Violet
151,magicarpe 129 165,22/09/2023,207,Écarlate et Violet
151,leviator 130 165,22/09/2023,207,Écarlate et Violet
151,lokhlass 131 165,22/09/2023,207,Écarlate et Violet
151,metamorph 132 165,22/09/2023,207,Écarlate et Violet
151,evoli 133 165,22/09/2023,207,Écarlate et Violet
151,aquali 134 165,22/09/2023,207,Écarlate et Violet
151,voltali 135 165,22/09/2023,207,Écarlate et Violet
151,pyroli 136 165,22/09/2023,207,Écarlate et Violet
151,porygon 137 165,22/09/2023,207,Écarlate et Violet
151,amonita 138 165,22/09/2023,207,Écarlate et Violet
151,amonistar 139 165,22/09/2023,207,Écarlate et Violet
151,kabuto 140 165,22/09/2023,207,Écarlate et Violet
151,kabutops 141 165,22/09/2023,207,Écarlate et Violet
151,ptera 142 165,22/09/2023,207,Écarlate et Violet
151,ronflex 143 165,22/09/2023,207,Écarlate et Violet
151,artikodin 144 165,22/09/2023,207,Écarlate et Violet
151,electhor ex 145 165,22/09/2023,207,Écarlate et Violet
151,sulfura 146 165,22/09/2023,207,Écarlate et Violet
151,minidraco 147 165,22/09/2023,207,Écarlate et Violet
151,draco 148 165,22/09/2023,207,Écarlate et Violet
151,dracolosse 149 165,22/09/2023,207,Écarlate et Violet
151,mewtwo 150 165,22/09/2023,207,Écarlate et Violet
151,mew ex 151 165,22/09/2023,207,Écarlate et Violet
151,fossile dome ancien 152 165,22/09/2023,207,Écarlate et Violet
151,fossile nautile ancien 153 165,22/09/2023,207,Écarlate et Violet
151,vieil ambre ancien 154 165,22/09/2023,207,Écarlate et Violet
151,gros ballon 155 165,22/09/2023,207,Écarlate et Violet
151,transfert de leo 156 165,22/09/2023,207,Écarlate et Violet
151,piste cyclable 157 165,22/09/2023,207,Écarlate et Violet
151,aide de nina 158 165,22/09/2023,207,Écarlate et Violet
151,stickers energie 159 165,22/09/2023,207,Écarlate et Violet
151,invitation d'erika 160 165,22/09/2023,207,Écarlate et Violet
151,charisme de giovanni 161 165,22/09/2023,207,Écarlate et Violet
151,pince attrapeuse 162 165,22/09/2023,207,Écarlate et Violet
151,restes 163 165,22/09/2023,207,Écarlate et Violet
151,lunettes de protection 164 165,22/09/2023,207,Écarlate et Violet
151,bandeau rigide 165 165,22/09/2023,207,Écarlate et Violet
151,bulbizarre 166 165,22/09/2023,207,Écarlate et Violet
151,herbizarre 167 165,22/09/2023,207,Écarlate et Violet
151,salameche 168 165,22/09/2023,207,Écarlate et Violet
151,reptincel 169 165,22/09/2023,207,Écarlate et Violet
151,carapuce 170 165,22/09/2023,207,Écarlate et Violet
151,carabaffe 171 165,22/09/2023,207,Écarlate et Violet
