card_name,card_price_EUR,sold_date,vendor_name,vendor_reviews,vendor_ratings,bids_numbers,bloc_ID,set_ID
minidraco 2 20,2.0,2024-01-20,chritop-_0,45,100.0,0.0,7,9
minidraco 2 20,1.5,2023-12-06,nzoo65,17,100.0,0.0,7,9
minidraco 2 20,3.0,2023-12-04,azelas,215,100.0,0.0,7,9
minidraco 2 20,4.9,2024-01-03,giolazzotcg,3603,100.0,0.0,7,9
minidraco 2 20,1.0,2023-12-09,pokemonium24,97,100.0,0.0,7,9
minidraco 2 20,10.5,2023-11-19,bigboris313,2472,99.3,6.0,7,9
draco 3 20,10.9,2024-02-01,parodi0,16382,99.9,0.0,7,9
draco 3 20,4.0,2023-12-06,pierspokecards16,1051,100.0,0.0,7,9
draco 4 20,9.9,2024-02-01,parodi0,16382,99.9,0.0,7,9
draco 4 20,3.0,2024-01-13,chritop-_0,45,100.0,0.0,7,9
draco 4 20,7.9,2023-12-06,ddeonix,643,98.4,0.0,7,9
dracolosse 5 20,10.0,2023-12-23,parodi0,16382,99.9,0.0,7,9
draby 6 20,2.9,2023-12-04,roadtotcg,2538,99.3,0.0,7,9
draby 6 20,1.0,2023-12-09,pokemonium24,97,100.0,0.0,7,9
drackhaus 7 20,1.0,2024-02-04,collot53,1030,97.2,0.0,7,9
drattak 8 20,1.0,2024-02-06,collot53,1030,97.2,0.0,7,9
drattak 8 20,1.0,2024-01-27,ceced79,437,100.0,2.0,7,9
drattak 8 20,9.99,2024-01-27,charlie-s-treasures,1250,100.0,0.0,7,9
latias 9 20,6.0,2024-01-16,hayham46,79,100.0,0.0,7,9
latias 9 20,2.0,2023-11-28,hubpie_7344,81,100.0,0.0,7,9
latios 10 20,3.0,2024-02-04,nathroseromain,330,96.9,0.0,7,9
latios 10 20,2.5,2024-01-09,0_legrenierdezelda_0,4856,100.0,0.0,7,9
latios 10 20,15.5,2024-01-07,price.pokemon,295,100.0,14.0,7,9
latios 10 20,12.5,2023-12-31,price.pokemon,295,100.0,7.0,7,9
latios 10 20,2.0,2023-11-28,hubpie_7344,81,100.0,2.0,7,9
latios 10 20,2.0,2023-11-17,secretgame26,7981,100.0,0.0,7,9
rayquaza 11 20,25.5,2024-01-24,nicolbolas-tcg,89,100.0,2.0,7,9
rayquaza 11 20,19.99,2024-01-11,retrogamezone,20824,99.9,0.0,7,9
rayquaza 11 20,35.5,2024-01-07,price.pokemon,295,100.0,21.0,7,9
rayquaza 11 20,25.5,2023-12-31,price.pokemon,295,100.0,22.0,7,9
rayquaza 11 20,10.0,2023-12-25,sopsra0,0,0.0,0.0,7,9
rayquaza 11 20,15.5,2023-11-27,pierspokecards16,1051,100.0,0.0,7,9
coupenotte 12 20,4.0,2023-12-19,joufjul,38,100.0,0.0,7,9
coupenotte 13 20,3.0,2024-01-29,azelas,215,100.0,0.0,7,9
coupenotte 13 20,33.0,2024-01-14,valckior84,113,100.0,12.0,7,9
coupenotte 13 20,1.0,2023-11-18,evolifamily,584,100.0,0.0,7,9
incisache 14 20,4.5,2024-01-27,ceced79,437,100.0,6.0,7,9
incisache 14 20,1.0,2023-12-10,camre_9193,28,100.0,0.0,7,9
incisache 15 20,2.0,2024-01-16,emmanuelled91,2685,100.0,0.0,7,9
tranchodon 16 20,18.0,2024-02-05,lucie-annpique_0,4201,100.0,0.0,7,9
tranchodon 16 20,1.5,2024-01-27,ceced79,437,100.0,2.0,7,9
tranchodon 16 20,5.9,2023-11-26,pokevivi7,17486,100.0,0.0,7,9
drakkarmin 17 20,1.0,2023-12-10,auning,94,100.0,0.0,7,9
drakkarmin 17 20,7.4,2023-12-04,gamberge,389,99.0,0.0,7,9
drakkarmin 17 20,5.9,2023-11-21,pokevivi7,17486,100.0,0.0,7,9
multi exp 18 20,1.0,2023-12-09,pokemonium24,97,100.0,0.0,7,9
mega canne 20 20,7.0,2024-02-09,alexhugo2,330,100.0,0.0,7,9
mega canne 20 20,3.9,2023-12-12,pokevivi7,17486,100.0,0.0,7,9
mega canne 20 20,2.5,2023-11-23,lucie-annpique_0,4201,100.0,0.0,7,9
kyurem 21 20,50.0,2023-12-31,beauji-10,211,98.8,0.0,7,9
kyurem 21 20,19.0,2023-11-20,sims1106,25,100.0,0.0,7,9
