set_name,card_title,bloc_name
151,bulbizarre 1 165,Écarlate et Violet
151,herbizarre 2 165,Écarlate et Violet
151,florizarre ex 3 165,Écarlate et Violet
151,salameche 4 165,Écarlate et Violet
151,reptincel 5 165,Écarlate et Violet
151,dracaufeu ex 6 165,Écarlate et Violet
151,carapuce 7 165,Écarlate et Violet
151,carabaffe 8 165,Écarlate et Violet
151,tortank ex 9 165,Écarlate et Violet
151,chenipan 10 165,Écarlate et Violet
151,chrysacier 11 165,Écarlate et Violet
151,papilusion 12 165,Écarlate et Violet
151,aspicot 13 165,Écarlate et Violet
151,coconfort 14 165,Écarlate et Violet
151,dardargnan 15 165,Écarlate et Violet
151,roucool 16 165,Écarlate et Violet
151,roucoups 17 165,Écarlate et Violet
151,roucarnage 18 165,Écarlate et Violet
151,rattata 19 165,Écarlate et Violet
151,rattatac 20 165,Écarlate et Violet
151,piafabec 21 165,Écarlate et Violet
151,rapasdepic 22 165,Écarlate et Violet
151,abo 23 165,Écarlate et Violet
151,arbok ex 24 165,Écarlate et Violet
151,pikachu 25 165,Écarlate et Violet
151,raichu 26 165,Écarlate et Violet
151,sabelette 27 165,Écarlate et Violet
151,sablaireau 28 165,Écarlate et Violet
151,nidoran 29 165,Écarlate et Violet
151,nidorina 30 165,Écarlate et Violet
151,nidoqueen 31 165,Écarlate et Violet
151,nidoran 32 165,Écarlate et Violet
151,nidorino 33 165,Écarlate et Violet
151,nidoking 34 165,Écarlate et Violet
151,melofee 35 165,Écarlate et Violet
151,melodelfe 36 165,Écarlate et Violet
151,goupix 37 165,Écarlate et Violet
151,feunard ex 38 165,Écarlate et Violet
151,rondoudou 39 165,Écarlate et Violet
151,grodoudou ex 40 165,Écarlate et Violet
151,nosferapti 41 165,Écarlate et Violet
151,nosferalto 42 165,Écarlate et Violet
151,mystherbe 43 165,Écarlate et Violet
151,ortide 44 165,Écarlate et Violet
151,rafflesia 45 165,Écarlate et Violet
151,paras 46 165,Écarlate et Violet
151,parasect 47 165,Écarlate et Violet
151,mimitoss 48 165,Écarlate et Violet
151,aeromite 49 165,Écarlate et Violet
151,taupiqueur 50 165,Écarlate et Violet
151,triopikeur 51 165,Écarlate et Violet
151,miaouss 52 165,Écarlate et Violet
151,persian 53 165,Écarlate et Violet
151,psykokwak 54 165,Écarlate et Violet
151,akwakwak 55 165,Écarlate et Violet
151,ferosinge 56 165,Écarlate et Violet
151,colossinge 57 165,Écarlate et Violet
151,caninos 58 165,Écarlate et Violet
151,arcanin 59 165,Écarlate et Violet
151,ptitard 60 165,Écarlate et Violet
151,tetarte 61 165,Écarlate et Violet
151,tartard 62 165,Écarlate et Violet
151,abra 63 165,Écarlate et Violet
151,kadabra 64 165,Écarlate et Violet
151,alakazam ex 65 165,Écarlate et Violet
151,machoc 66 165,Écarlate et Violet
151,machopeur 67 165,Écarlate et Violet
151,mackogneur 68 165,Écarlate et Violet
151,chetiflor 69 165,Écarlate et Violet
151,boustiflor 70 165,Écarlate et Violet
151,empiflor 71 165,Écarlate et Violet
151,tentacool 72 165,Écarlate et Violet
151,tentacruel 73 165,Écarlate et Violet
151,racaillou 74 165,Écarlate et Violet
151,gravalanch 75 165,Écarlate et Violet
151,grolem ex 76 165,Écarlate et Violet
151,ponyta 77 165,Écarlate et Violet
151,galopa 78 165,Écarlate et Violet
151,ramoloss 79 165,Écarlate et Violet
151,flagadoss 80 165,Écarlate et Violet
151,magneti 81 165,Écarlate et Violet
151,magneton 82 165,Écarlate et Violet
151,canarticho 83 165,Écarlate et Violet
151,doduo 84 165,Écarlate et Violet
151,dodrio 85 165,Écarlate et Violet
151,otaria 86 165,Écarlate et Violet
151,lamantine 87 165,Écarlate et Violet
151,tadmorv 88 165,Écarlate et Violet
151,grotadmorv 89 165,Écarlate et Violet
151,kokiyas 90 165,Écarlate et Violet
151,crustabri 91 165,Écarlate et Violet
151,fantominus 92 165,Écarlate et Violet
151,spectrum 93 165,Écarlate et Violet
151,ectoplasma 94 165,Écarlate et Violet
151,onix 95 165,Écarlate et Violet
151,soporifik 96 165,Écarlate et Violet
151,hypnomade 97 165,Écarlate et Violet
151,krabby 98 165,Écarlate et Violet
151,krabboss 99 165,Écarlate et Violet
151,voltorbe 100 165,Écarlate et Violet
151,electrode 101 165,Écarlate et Violet
151,noeunoeuf 102 165,Écarlate et Violet
151,noadkoko 103 165,Écarlate et Violet
151,osselait 104 165,Écarlate et Violet
151,ossatueur 105 165,Écarlate et Violet
151,kicklee 106 165,Écarlate et Violet
151,tygnon 107 165,Écarlate et Violet
151,excelangue 108 165,Écarlate et Violet
151,smogo 109 165,Écarlate et Violet
151,smogogo 110 165,Écarlate et Violet
151,rhinocorne 111 165,Écarlate et Violet
151,rhinoferos 112 165,Écarlate et Violet
151,leveinard 113 165,Écarlate et Violet
151,saquedeneu 114 165,Écarlate et Violet
151,kangourex ex 115 165,Écarlate et Violet
151,hypotrempe 116 165,Écarlate et Violet
151,hypocean 117 165,Écarlate et Violet
151,poissirene 118 165,Écarlate et Violet
151,poissoroy 119 165,Écarlate et Violet
151,stari 120 165,Écarlate et Violet
151,staross 121 165,Écarlate et Violet
151,m. mime 122 165,Écarlate et Violet
151,insecateur 123 165,Écarlate et Violet
151,lippoutou ex 124 165,Écarlate et Violet
151,elektek 125 165,Écarlate et Violet
151,magmar 126 165,Écarlate et Violet
151,scarabrute 127 165,Écarlate et Violet
151,tauros 128 165,Écarlate et Violet
151,magicarpe 129 165,Écarlate et Violet
151,leviator 130 165,Écarlate et Violet
151,lokhlass 131 165,Écarlate et Violet
151,metamorph 132 165,Écarlate et Violet
151,evoli 133 165,Écarlate et Violet
151,aquali 134 165,Écarlate et Violet
151,voltali 135 165,Écarlate et Violet
151,pyroli 136 165,Écarlate et Violet
151,porygon 137 165,Écarlate et Violet
151,amonita 138 165,Écarlate et Violet
151,amonistar 139 165,Écarlate et Violet
151,kabuto 140 165,Écarlate et Violet
151,kabutops 141 165,Écarlate et Violet
151,ptera 142 165,Écarlate et Violet
151,ronflex 143 165,Écarlate et Violet
151,artikodin 144 165,Écarlate et Violet
151,electhor ex 145 165,Écarlate et Violet
151,sulfura 146 165,Écarlate et Violet
151,minidraco 147 165,Écarlate et Violet
151,draco 148 165,Écarlate et Violet
151,dracolosse 149 165,Écarlate et Violet
151,mewtwo 150 165,Écarlate et Violet
151,mew ex 151 165,Écarlate et Violet
151,fossile dome ancien 152 165,Écarlate et Violet
151,fossile nautile ancien 153 165,Écarlate et Violet
151,vieil ambre ancien 154 165,Écarlate et Violet
151,gros ballon 155 165,Écarlate et Violet
151,transfert de leo 156 165,Écarlate et Violet
151,piste cyclable 157 165,Écarlate et Violet
151,aide de nina 158 165,Écarlate et Violet
151,stickers energie 159 165,Écarlate et Violet
151,invitation d'erika 160 165,Écarlate et Violet
151,charisme de giovanni 161 165,Écarlate et Violet
151,pince attrapeuse 162 165,Écarlate et Violet
151,restes 163 165,Écarlate et Violet
151,lunettes de protection 164 165,Écarlate et Violet
151,bandeau rigide 165 165,Écarlate et Violet
151,bulbizarre 166 165,Écarlate et Violet
151,herbizarre 167 165,Écarlate et Violet
151,salameche 168 165,Écarlate et Violet
151,reptincel 169 165,Écarlate et Violet
151,carapuce 170 165,Écarlate et Violet
151,carabaffe 171 165,Écarlate et Violet
151,chenipan 172 165,Écarlate et Violet
151,pikachu 173 165,Écarlate et Violet
151,nidoking 174 165,Écarlate et Violet
151,psykokwak 175 165,Écarlate et Violet
151,tetarte 176 165,Écarlate et Violet
151,machopeur 177 165,Écarlate et Violet
151,saquedeneu 178 165,Écarlate et Violet
151,m. mime 179 165,Écarlate et Violet
151,amonita 180 165,Écarlate et Violet
151,draco 181 165,Écarlate et Violet
151,florizarre ex 182 165,Écarlate et Violet
151,dracaufeu ex 183 165,Écarlate et Violet
151,tortank ex 184 165,Écarlate et Violet
151,arbok ex 185 165,Écarlate et Violet
151,feunard ex 186 165,Écarlate et Violet
151,grodoudou ex 187 165,Écarlate et Violet
151,alakazam ex 188 165,Écarlate et Violet
151,grolem ex 189 165,Écarlate et Violet
151,kangourex ex 190 165,Écarlate et Violet
151,lippoutou ex 191 165,Écarlate et Violet
151,electhor ex 192 165,Écarlate et Violet
151,mew ex 193 165,Écarlate et Violet
151,transfert de leo 194 165,Écarlate et Violet
151,aide de nina 195 165,Écarlate et Violet
151,invitation d'erika 196 165,Écarlate et Violet
151,charisme de giovanni 197 165,Écarlate et Violet
151,florizarre ex 198 165,Écarlate et Violet
151,dracaufeu ex 199 165,Écarlate et Violet
151,tortank ex 200 165,Écarlate et Violet
151,alakazam ex 201 165,Écarlate et Violet
151,electhor ex 202 165,Écarlate et Violet
151,invitation d'erika 203 165,Écarlate et Violet
151,charisme de giovanni 204 165,Écarlate et Violet
151,mew ex 205 165,Écarlate et Violet
151,echange 206 165,Écarlate et Violet
151,energie psy de base 207 165,Écarlate et Violet
Astres Radieux,dardargnan v 1 189,Épée et Bouclier
Astres Radieux,voltorbe de hisui 2 189,Épée et Bouclier
Astres Radieux,electrode de hisui 3 189,Épée et Bouclier
Astres Radieux,insecateur 4 189,Épée et Bouclier
Astres Radieux,insecateur 5 189,Épée et Bouclier
Astres Radieux,yanma 6 189,Épée et Bouclier
Astres Radieux,yanmega 7 189,Épée et Bouclier
Astres Radieux,scarhino 8 189,Épée et Bouclier
Astres Radieux,crikzik 9 189,Épée et Bouclier
Astres Radieux,melokrik 10 189,Épée et Bouclier
Astres Radieux,apitrini 11 189,Épée et Bouclier
Astres Radieux,apireine 12 189,Épée et Bouclier
Astres Radieux,phyllali 13 189,Épée et Bouclier
Astres Radieux,shaymin 14 189,Épée et Bouclier
Astres Radieux,chlorobule 15 189,Épée et Bouclier
Astres Radieux,fragilady de hisui 16 189,Épée et Bouclier
Astres Radieux,fragilady de hisui v 17 189,Épée et Bouclier
Astres Radieux,fragilady de hisui vstar 18 189,Épée et Bouclier
Astres Radieux,brindibou 19 189,Épée et Bouclier
Astres Radieux,effleche 20 189,Épée et Bouclier
Astres Radieux,ponyta 21 189,Épée et Bouclier
Astres Radieux,galopa 22 189,Épée et Bouclier
Astres Radieux,hericendre 23 189,Épée et Bouclier
Astres Radieux,feurisson 24 189,Épée et Bouclier
Astres Radieux,heatran v 25 189,Épée et Bouclier
Astres Radieux,heatran vmax 26 189,Épée et Bouclier
Astres Radieux,heatran radieux 27 189,Épée et Bouclier
Astres Radieux,psykokwak 28 189,Épée et Bouclier
Astres Radieux,akwakwak 29 189,Épée et Bouclier
Astres Radieux,staross v 30 189,Épée et Bouclier
Astres Radieux,marcacrin 31 189,Épée et Bouclier
Astres Radieux,cochignon 32 189,Épée et Bouclier
Astres Radieux,mammochon 33 189,Épée et Bouclier
Astres Radieux,demanta 34 189,Épée et Bouclier
Astres Radieux,barloche 35 189,Épée et Bouclier
Astres Radieux,barbicha 36 189,Épée et Bouclier
Astres Radieux,regice 37 189,Épée et Bouclier
Astres Radieux,givrali 38 189,Épée et Bouclier
Astres Radieux,palkia forme originelle v 39 189,Épée et Bouclier
Astres Radieux,palkia forme originelle vstar 40 189,Épée et Bouclier
Astres Radieux,moustillon 41 189,Épée et Bouclier
Astres Radieux,mateloutre 42 189,Épée et Bouclier
Astres Radieux,bargantua de hisui 43 189,Épée et Bouclier
Astres Radieux,paragruel de hisui 44 189,Épée et Bouclier
Astres Radieux,keldeo 45 189,Épée et Bouclier
Astres Radieux,amphinobi radieux 46 189,Épée et Bouclier
Astres Radieux,grelacon 47 189,Épée et Bouclier
Astres Radieux,seracrawl de hisui 48 189,Épée et Bouclier
Astres Radieux,m. glaquette de galar v 49 189,Épée et Bouclier
Astres Radieux,luxray v 50 189,Épée et Bouclier
Astres Radieux,regieleki 51 189,Épée et Bouclier
Astres Radieux,typhlosion de hisui 52 189,Épée et Bouclier
Astres Radieux,typhlosion de hisui v 53 189,Épée et Bouclier
Astres Radieux,typhlosion de hisui vstar 54 189,Épée et Bouclier
Astres Radieux,togepi 55 189,Épée et Bouclier
Astres Radieux,togetic 56 189,Épée et Bouclier
Astres Radieux,togekiss 57 189,Épée et Bouclier
Astres Radieux,feuforeve 58 189,Épée et Bouclier
Astres Radieux,magireve 59 189,Épée et Bouclier
Astres Radieux,tarsal 60 189,Épée et Bouclier
Astres Radieux,kirlia 61 189,Épée et Bouclier
Astres Radieux,gallame 62 189,Épée et Bouclier
Astres Radieux,baudrive 63 189,Épée et Bouclier
Astres Radieux,grodrive 64 189,Épée et Bouclier
Astres Radieux,crehelf 65 189,Épée et Bouclier
Astres Radieux,crefollet 66 189,Épée et Bouclier
Astres Radieux,crefadet 67 189,Épée et Bouclier
Astres Radieux,diancie 68 189,Épée et Bouclier
Astres Radieux,cerbyllin 69 189,Épée et Bouclier
Astres Radieux,caninos de hisui 70 189,Épée et Bouclier
Astres Radieux,arcanin de hisui 71 189,Épée et Bouclier
Astres Radieux,mackogneur v 72 189,Épée et Bouclier
Astres Radieux,mackogneur vmax 73 189,Épée et Bouclier
Astres Radieux,simularbre 74 189,Épée et Bouclier
Astres Radieux,regirock 75 189,Épée et Bouclier
Astres Radieux,kranidos 76 189,Épée et Bouclier
Astres Radieux,charkos 77 189,Épée et Bouclier
Astres Radieux,lucario v 78 189,Épée et Bouclier
Astres Radieux,hippopotas 79 189,Épée et Bouclier
Astres Radieux,hippodocus 80 189,Épée et Bouclier
Astres Radieux,brutalibre radieux 81 189,Épée et Bouclier
